job_key,job_title,salary_low,salary_high,is_remote,job_type,is_intern
job-0011b268f48bc6c2,Data Analytics Intern (Summer 2023 - Remote),$40.9K,$51.8K,Y,Internship,1
job-0044953d92fa1cc7,Data Analyst,"$65,000","$75,000",N,Full-time,0
job-0072004f2d3180a4,Data Scientist (Remote),"$96,000","$220,000",Y,Full-time (i),0
job-00d80147a1b5d603,Data Scientist,$106K,$134K,N,Full-time (i),0
job-01902d8707f063a4,Data Scientist I,$74.3K,$94.1K,Y,Full-time,0
job-01acda57dd1ee035,Data Scientist,$85.1K,$108K,N,Full-time,0
job-01bc99b11ef5cfb9,Data Scientist I,$98.2K,$124K,N,Full-time,0
job-02029f355417cfc6,Artificial Intelligence (AI)/Machine Learning (ML) Graduate,$117K,$149K,N,Full-time,0
job-0459faf946006dc9,Junior Data Scientist (Data science and AI),$84.5K,$107K,N,Full-time (i),0
job-046638552d4cb0ca,Junior Data Analyst,$68.2K,$86.3K,Y,Full-time (i),0
job-04d8daa933d28271,Sr. Digital Data Analyst – Remote,"$96,330","$144,560",Y,Full-time (i),0
job-060c0f71a5eac4a8,"Intern, Integrated Analytics - Summer 2023",$34.6K,$43.8K,Y,Full-time,1
job-06e65096698ac9c5,(Remote) Data Scientist - Rockefeller Neuroscience Institute,$59.9K,$75.8K,Y,Full-time,0
job-06e92275f4d550c0,Data Science Intern,0,0,N,Full-time,1
job-07696f51c770dba2,Statistical Analyst (Remote),"$55,000","$63,000",Y,Full-time,0
job-0797666d07350dba,Data Science Intern,$48.6K,$61.5K,N,Internship,1
job-082d8a60f784a790,Data Scientist,"$101,500","$145,000",N,Full-time,0
job-08355578b3b5058b,Data Science Engineering Intern,$44.8K,$56.8K,N,Part-time,1
job-08695ea0b6747b80,"Data Analyst, Global Public Policy",0,0,N,Full-time (i),0
job-089d31b5fc826ce2,Data Scientist and Visualization Developer,"$110,000","$140,000",N,Full-time,0
job-08b2dfdc34ef2351,Data Science Analyst,0,0,N,Full-time,0
job-090182c7de816b87,Data Science Intern,$42.3K,$53.6K,N,Internship,1
job-094f305c57858a88,Data Scientist,$122K,$154K,N,Full-time,0
job-09697effdb4f6086,Data Scientist II - Remote,"$100,000","$125,000",Y,Full-time (i),0
job-09c43b4bc220744b,"Machine Learning Intern, Research",0,0,N,Internship,1
job-0a756a1add50eec1,Sales Operations Analyst,$48.8K,$61.8K,Y,Internship,1
job-0bc96cc6a2b24d8e,Data Science/Engineering Intern,$70.2K,$88.8K,N,Full-time (i),1
job-0cf4f93d3fdf3bfd,"Data Scientist, Growth","$160,000","$255,000",N,Full-time (i),0
job-0d75247d02f8f6cc,Junior Data Scientist - Remote US,$71.2K,$90.1K,Y,Full-time (i),0
job-0d8c028ae9e54edc,Data Scientist,$80.1K,$101K,N,Full-time,0
job-0e1d5967104a888e,2023 Data Science Intern,$29.2K,$37K,N,Internship,1
job-0e2a587c048b2220,Data Engineer,$84.5K,$107K,N,Full-time (i),0
job-0e3dc3765019f381,Data Science/Statistics Intern,0,0,N,Internship,1
job-0ec984e59d3ce730,Data Scientist,$104K,$132K,Y,Full-time,0
job-0ee0a329d388a628,Internship 2023 - DFM Operations Intern,$35.3K,$44.7K,N,Internship,1
job-0f39f4097013f08c,"Data Scientist IV, Utility Reliability - REMOTE","$119,900","$159,500",N,Full-time,0
job-0f5c5e6c57cc4200,Data Science Analyst I or II,$63.8K,$80.7K,N,Full-time,0
job-1266d610b3f33877,"Experimentation and Causal Inference Intern, Data Science and Engineering",$70.4K,$89.1K,N,Internship,1
job-1292d743fbc2f949,Data Engineer/Data Scientist,"$100,000","$180,000",Y,Full-time,0
job-137db19521390290,Data Science Trainee,0,0,N,Internship,1
job-14df9bc1246c5c66,Senior Data Scientist,"$125,000","$185,000",N,Full-time,0
job-159bef873366f13f,Data Science Analyst (Remote),"$130,000","$130,000",Y,Full-time (i),0
job-15b6732e63ee8188,Head of Data Science,"$190,000","$260,000",Y,Full-time (i),0
job-16ab7189e6f995cf,Data Engineer,$104K,$131K,Y,Full-time,0
job-16cc4416d992d36c,IT Data Science Intern,0,0,N,Full-time,1
job-17465dcacdbf8d67,Jr. Software Engineer,$85.8K,$109K,Y,Full-time (i),0
job-175d7a3bd494110f,Research Analyst Intern - Summer 2023,0,0,N,Internship,1
job-176a47d38fffb257,Data Scientist,0,0,N,Full-time,0
